market date,symbol,ticker,expiry,strike,ask price,ask size,filled price,filled size,bid price,bid size,volume,OI,IV,previous close price,previous close date,today gain,tech_last_date,SMA,BB - high,BB - low,RSI,VWAP,ATR,Range,B-Score
2021/02/23 10:04:11,PINS220121C00100000,PINS,2022-01-21,100.0,13.200000,10,12.750000,1,12.750000,87,105,3049,0.674719,14.050000,2021-02-22,-1.3000000000000007,2021-02-23 Tuesday,15.121999931335449,20.32372860968602,7.857271623010511,36.13429943299088,15.263501060782907,2.020516777663165,7.550000190734863,6
2021/02/23 10:04:11,CRSP220121C00230000,CRSP,2022-01-21,230.0,21.500000,20,16.000000,1,16.500000,10,3,230,0.840353,23.150000,2021-02-22,-7.149999999999999,2021-02-23 Tuesday,27.45999984741211,56.56423601983551,20.1267639649057,12.047053235317549,35.385323248752925,3.602099354244832,23.700000762939453,5
2021/02/23 10:04:11,NET220121C00110000,NET,2022-01-21,110.0,9.100000,97,7.650000,2,7.950000,563,133,965,0.636239,10.080000,2021-02-22,-2.4299999999999997,2021-02-22 Monday,12.45999984741211,17.182619301334427,8.26338070248027,40.90408054614989,14.058258306412466,1.5989320851749178,8.389999389648438,5
2021/02/23 10:04:11,NET220121C00095000,NET,2022-01-21,95.0,12.700000,498,10.500000,1,10.500000,610,1,161,0.635650,13.550000,2021-02-22,-3.0500000000000007,2021-02-22 Monday,16.207999801635744,22.024943971534896,11.516056203941178,41.34690482267097,19.426713297324486,1.7141841225850512,9.449999809265137,5
2021/02/23 10:04:11,NET220121C00085000,NET,2022-01-21,85.0,15.100000,186,14.100000,10,14.100000,375,23,624,0.645485,16.230000,2021-02-22,-2.130000000000001,2021-02-23 Tuesday,17.970000076293946,26.717436289339954,13.087563825100961,33.74678007004566,21.107893758076457,2.41050900353363,13.629999160766602,5
2021/02/23 10:04:11,NET220121C00080000,NET,2022-01-21,80.0,16.700000,160,14.000000,1,14.800000,690,20,1250,0.629559,18.400000,2021-02-22,-4.399999999999999,2021-02-23 Tuesday,19.673999786376953,29.05718639857664,14.16381331913576,33.451065623794804,23.328930928552357,2.463064468833902,15.100000381469727,5
2021/02/23 10:04:11,CRSP220121C00150000,CRSP,2022-01-21,150.0,38.400000,57,38.500000,5,34.500000,57,6,203,0.871356,41.700000,2021-02-22,-3.200000000000003,2021-02-22 Monday,50.66000061035156,78.67718309072589,44.37181631418133,11.53701621937951,58.00223003805598,5.31165450363617,27.0,5
2021/02/23 10:04:11,CRSP220121C00170000,CRSP,2022-01-21,170.0,34.000000,58,28.000000,1,29.000000,10,7,232,0.875088,35.500000,2021-02-22,-7.5,2021-02-23 Tuesday,41.96400032043457,68.03158906465546,36.97641054624542,16.786454754390704,52.44824306772648,5.346824566694368,28.55000114440918,5
2021/02/23 10:04:11,NET230120C00070000,NET,2023-01-20,70.0,27.700000,248,22.800000,1,23.500000,223,8,783,0.597607,28.250000,2021-02-22,-5.449999999999999,2021-02-23 Tuesday,30.66999969482422,39.59741584337309,24.519583973521442,35.05825282883501,33.61169482722428,2.5585523914847172,11.100000381469727,5
2021/02/23 10:04:11,CRSP220121C00200000,CRSP,2022-01-21,200.0,25.000000,1,20.400000,1,22.000000,59,6,250,0.837282,28.050000,2021-02-22,-7.650000000000002,2021-02-23 Tuesday,31.784000396728516,55.40478686799709,28.449212460616195,17.854111491028902,40.1242088356825,4.526012489458828,31.0,5
